save_file = '20250723_134350.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.9101651906967163, 0.050763558596372604, 0.007322279270738363, 0.001809965935535729, 0.0005271109403111041, 0.000164190903888084, 5.288105967338197e-05, 1.7349550034850836e-05, 5.755349775427021e-06, 1.938680497914902e-06]
save_file = '20250723_134958.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.6934899687767029, 0.025729963555932045, 0.003334298962727189, 0.0008022056426852942, 0.00023474969202652574, 7.381587056443095e-05, 2.399257391516585e-05, 7.93953313404927e-06, 2.66112351710035e-06, 9.018089599521772e-07]
save_file = '20250723_135312.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.6919699907302856, 0.07575899362564087, 0.009422488510608673, 0.0022380920127034187, 0.0006471097585745156, 0.00020165025489404798, 6.525871867779642e-05, 2.1649249902111478e-05, 7.313973128475482e-06, 2.5093206659221323e-06]
save_file = '20250723_135314.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.7444664835929871, 0.05069756507873535, 0.006916407961398363, 0.001523881102912128, 0.0004140767559874803, 0.00012413023796398193, 3.9220904000103474e-05, 1.2847957805206534e-05, 4.3032800931541715e-06, 1.4582448102373746e-06]
save_file = '20250723_135316.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.7056426405906677, 0.0643904060125351, 0.005832806695252657, 0.0013134271139279008, 0.00037235944182612, 0.00011505335714900866, 3.7009096558904275e-05, 1.2183892977191135e-05, 4.075667220604373e-06, 1.38516190872906e-06]
save_file = '20250723_135318.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.7908673286437988, 0.04029417037963867, 0.004840563517063856, 0.0011416220804676414, 0.00032984986319206655, 0.00010304874740540981, 3.33727803081274e-05, 1.1034579074475914e-05, 3.692173095259932e-06, 1.2467853593989275e-06]
save_file = '20250723_135320.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.6487336158752441, 0.04175524786114693, 0.004128888249397278, 0.0009908622596412897, 0.00028998329071328044, 9.139833127846941e-05, 2.983953345392365e-05, 9.949742889148183e-06, 3.358414005560917e-06, 1.1405139730413794e-06]
save_file = '20250723_135322.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.7329641580581665, 0.07691774517297745, 0.014137933030724525, 0.0035922620445489883, 0.0010590876918286085, 0.00033378516673110425, 0.00010997696517733857, 3.73968796338886e-05, 1.2978818631381728e-05, 4.574460945150349e-06]
save_file = '20250723_135324.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.6664674878120422, 0.03774124011397362, 0.0048548197373747826, 0.0011279089376330376, 0.00029624701710417867, 8.394523320021108e-05, 2.5844341507763602e-05, 8.919228093873244e-06, 3.0552043881471036e-06, 1.0419531690786243e-06]
save_file = '20250723_135326.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.7449150085449219, 0.034705743193626404, 0.00455501489341259, 0.001103170681744814, 0.0003203062224201858, 0.00010019280307460576, 3.2464409741805866e-05, 1.072997383744223e-05, 3.5731377465708647e-06, 1.2124478416808415e-06]
save_file = '20250723_135329.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.682716429233551, 0.06309953331947327, 0.007604432292282581, 0.0017212301027029753, 0.00048221516772173345, 0.00014718336751684546, 4.672506474889815e-05, 1.517426335340133e-05, 5.01260092278244e-06, 1.675209546192491e-06]
save_file = '20250723_135331.pth'; method_name = 'tradition'; case_number = 0; learning_rate = 0.001; num_epochs = 20000; num_hidden_units = 16; accuracy = 1.0; positive_accuracy = 1.0; negative_accuracy = 1.0; positive_predictions_ratio = 0.5; loss_values = [0.7865798473358154, 0.04913122206926346, 0.006258126348257065, 0.0014588655903935432, 0.0004157478688284755, 0.00012816357775591314, 4.0038652514340356e-05, 1.3042672435403802e-05, 4.3579843804764096e-06, 1.4741767699888442e-06]
